inst_code,inst_name,type,DIST,PLACE,COED,branch_ code,OC_BO YS,OC_GIR LS,SC_BOY S,SC_GIR LS,ST_BOY S,ST_GIR LS,BCA_B OYS,BCA_GI RLS,BCB_B OYS,BCB_GI RLS,BCC_B OYS,BCC_GI RLS,BCD_B OYS,BCD_GI RLS,BCE_B OYS,BCE_GI RLS,OC_EWS_B OYS,OC_EWS_GI RLS,Year
ADIT,"ADITYA INSTITUTE OF TECHNOLOGY
AND MGMT",PVT,SKL,TEKKALI,COED,CSE,35906.0,35906.0,113684.0,123008.0,35906.0,88639.0,47964.0,47964.0,58777.0,64732.0,48280.0,48280.0,49096.0,51354.0,54501.0,54501.0,54115.0,72282.0,2019.0
ADIT,"ADITYA INSTITUTE OF TECHNOLOGY
AND MGMT",PVT,SKL,TEKKALI,COED,ECE,33681.0,59102.0,122342.0,122342.0,86635.0,86635.0,65942.0,65942.0,96492.0,105261.0,49515.0,59102.0,59918.0,63466.0,71069.0,71069.0,97229.0,90648.0,2019.0
ADIT,"ADITYA INSTITUTE OF TECHNOLOGY
AND MGMT",PVT,SKL,TEKKALI,COED,EEE,41608.0,41608.0,124776.0,126885.0,111122.0,111122.0,119757.0,119757.0,124311.0,124311.0,41608.0,41608.0,85541.0,86998.0,96522.0,96522.0,112766.0,107329.0,2019.0
ADIT,"ADITYA INSTITUTE OF TECHNOLOGY
AND MGMT",PVT,SKL,TEKKALI,COED,INF,130056.0,130085.0,130056.0,130085.0,130056.0,130085.0,130056.0,130085.0,130056.0,130085.0,30454.0,30454.0,130056.0,130085.0,130056.0,130085.0,100983.0,89166.0,2019.0
ADIT,"ADITYA INSTITUTE OF TECHNOLOGY
AND MGMT",PVT,SKL,TEKKALI,COED,MEC,21881.0,21881.0,119687.0,119687.0,128822.0,128822.0,126591.0,126591.0,124414.0,124453.0,21881.0,21881.0,110580.0,111656.0,123409.0,123409.0,71806.0,102518.0,2019.0
ADTP,ADITYA ENGINEERING COLLEGE,PVT,EG,PEDDAPURAM,COED,AGR,96011.0,96011.0,119831.0,126977.0,121973.0,121973.0,127551.0,127551.0,96011.0,96011.0,96011.0,96011.0,122723.0,127982.0,96011.0,96011.0,149181.0,71980.0,2019.0
ADTP,ADITYA ENGINEERING COLLEGE,PVT,EG,PEDDAPURAM,COED,CIV,99726.0,99726.0,129111.0,129111.0,99726.0,117861.0,125693.0,125693.0,125455.0,125455.0,99726.0,99726.0,99726.0,99726.0,99726.0,99726.0,119694.0,47692.0,2019.0
ADTP,ADITYA ENGINEERING COLLEGE,PVT,EG,PEDDAPURAM,COED,CSE,25623.0,26312.0,82176.0,117385.0,93069.0,96835.0,55961.0,60646.0,38368.0,38368.0,25855.0,47318.0,33980.0,34571.0,87894.0,87894.0,25555.0,22523.0,2019.0
ADTP,ADITYA ENGINEERING COLLEGE,PVT,EG,PEDDAPURAM,COED,ECE,33940.0,34341.0,125857.0,125857.0,123660.0,128089.0,74680.0,74680.0,69478.0,69478.0,56102.0,56102.0,49928.0,53697.0,82865.0,87076.0,34796.0,34328.0,2019.0
ADTP,ADITYA ENGINEERING COLLEGE,PVT,EG,PEDDAPURAM,COED,EEE,78566.0,119447.0,130026.0,130026.0,91461.0,119447.0,112963.0,119447.0,125649.0,125649.0,109017.0,119447.0,109239.0,119447.0,78566.0,119447.0,120598.0,85180.0,2019.0
