INST_CODE,INST_NAME,BRANCH_CODE,DISTRICT,COED,AFFLIATED,COLLEGE_FEE,CUTOFF,CATEGORY,GENDER,YEAR
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,CSM,EAST GODAVARI,COED,JNTUK,58700.0,46048.0,OC,BOYS,2022
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,ECE,EAST GODAVARI,COED,JNTUK,58700.0,50428.0,OC,BOYS,2022
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,EEE,EAST GODAVARI,COED,JNTUK,58700.0,156482.0,OC,BOYS,2022
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,MEC,EAST GODAVARI,COED,JNTUK,58700.0,150350.0,OC,BOYS,2022
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,MIN,EAST GODAVARI,COED,JNTUK,58700.0,169131.0,OC,BOYS,2022
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,PEE,EAST GODAVARI,COED,JNTUK,58700.0,64002.0,OC,BOYS,2022
GIET,GIET ENGINEERING COLLEGE,CSE,EAST GODAVARI,COED,JNTUK,35000.0,34562.0,OC,BOYS,2022
GIET,GIET ENGINEERING COLLEGE,ECE,EAST GODAVARI,COED,JNTUK,35000.0,57496.0,OC,BOYS,2022
GIET,GIET ENGINEERING COLLEGE,INF,EAST GODAVARI,COED,JNTUK,35000.0,70085.0,OC,BOYS,2022
GIPR,GIET SCHOOL OF PHARMACY,PHD,EAST GODAVARI,COED,AU,35000.0,160631.0,OC,BOYS,2022
GIPR,GIET SCHOOL OF PHARMACY,PHM,EAST GODAVARI,COED,AU,35000.0,62447.0,OC,BOYS,2022
IDEL,IDEAL INSTITUTE OF TECHNOLOGY,CSE,EAST GODAVARI,COED,JNTUK,35000.0,61034.0,OC,BOYS,2022
IDEL,IDEAL INSTITUTE OF TECHNOLOGY,CSM,EAST GODAVARI,COED,JNTUK,35000.0,79091.0,OC,BOYS,2022
IDEL,IDEAL INSTITUTE OF TECHNOLOGY,ECE,EAST GODAVARI,COED,JNTUK,35000.0,74289.0,OC,BOYS,2022
IDEL,IDEAL INSTITUTE OF TECHNOLOGY,MEC,EAST GODAVARI,COED,JNTUK,35000.0,151937.0,OC,BOYS,2022
